真实房价,预测房价
1457100,2369213.01
961700,1962535.38
3286000,3582705.63
2990000,6125431.88
822000,1087446.3
1911500,2143599.78
608650,-1236135.59
4462600,5136577.26
1398000,830555.36
4388600,3799903.13
4265000,2170033.52
598000,761471.54
8310000,3194885.25
966000,1535994.2
4612800,6203514.04
1554400,4759036.21
8392000,7360288.6
2427600,5251983.07
10020000,4764839.55
4618000,4839620.41
992500,403268.91
1045300,-1140009.95
1038000,2392324.5
1414500,2410650.94
2046000,3101172.61
2990000,3453598.54
930900,911823.65
3522000,2608050.26
3138000,4523933.74
4322000,4357298.86
877000,967735.26
3249000,3312830.57
2738400,4403144.01
1124400,1509140.26
4951000,5110792.85
1542300,1740805.93
3123200,2975193.82
2082000,4616426.28
661400,999653.41
12240000,5152566.66
5572600,4934141.86
491500,1109608.5
1565200,4550278.06
892400,681190.17
426000,-30170.74
8910000,4910545.36
669000,864022.22
1778000,3633538.93
3767000,7172560.1
930900,815543.09
470200,336296.12
1570000,1447629.04
505860,470775.44
1664000,2530038.09
2509000,5296089.28
1002000,1490349.29
3249000,4464242.62
6542000,4679357.33
3138000,4838676.69
2657000,3918445.98
1142650,962335.82
1130500,2007637.63
814800,-518160.14
2976500,1614489.27
754200,1251006.7
1894800,2390232.22
1562300,1411799.67
406300,314495.17
692200,1170275.56
692400,-21113.82
981400,1371075.28
1046400,1644641.95
1304450,1552926.08
1734000,844601.45
3752200,2524734.99
5882000,4178366.13
3434000,5652990.08
1600800,1531639.21
2089000,649218.29
1542300,2275854.47
1946600,2208795.55
1861800,1752997.02
3471000,4791904.63
576700,1155992.12
2218800,3000668.43
5580000,5939910.71
714000,1520278.48
2457200,4366280.27
930900,101620.36
1416000,2085043.45
3101000,4225946.03
967200,2355016.71
538200,1497557.68
1080800,1767345.78
1142400,1550190.51
2982600,4049703.31
1435250,976969.82
430400,538794.53
8170000,5348659.88
4603200,3484830.2
605960,582743.26
1208000,4535325.87
4766000,4012162.85
1369800,705071.23
1323600,929189.87
707600,311452.03
399200,1391836.51
738400,1741154.54
598000,1313782.19
1061800,939880.78
461200,547188.5
2760600,5229589.86
1442900,629961.03
4366400,4172900.03
398490,2000528.79
960160,53276.16
1830000,2158576.91
2398000,4064599.76
1201500,1299857.52
1521000,1313421.38
867800,1094422.65
1201500,1554651.91
3804000,2778402.46
9635200,7350210.48
838500,981157.4
2231000,2487125.64
2042800,3854510.71
576700,142437.75
3345200,5060977.61
1991000,3754137.65
1592000,2095546.26
2842000,5953683.35
1930000,3654201.51
861600,790824.92
6593800,5136150.4
5898200,5607668.91
448900,1528420.98
1485500,755639.27
1806000,3252632.45
1262000,1124268.99
1146500,644570.88
3222000,3127420.35
503550,1537896.72
907800,844355.25
5802000,5031384.51
2224500,1516927.98
1300500,761598.38
867800,1543442.42
2472000,5706054.17
7134000,4965866.67
3083000,1030486.64
1246600,1004810.43
5025000,5359635.77
4590000,2529559.84
3286000,2981789.04
1182000,-748668.17
16680000,5071773.31
1200400,959635.51
684500,1242108.64
1993500,2292842.4
732900,1175919.81
1095000,583246.9
3602000,3786792.12
5247000,5999919.16
374960,-13453.12
2324000,7890618.27
761500,1229571.94
867800,1965048.72
2986400,3047998.63
2694000,5038180.76
715300,1195462.77
853600,1842779.91
8059000,7619227.37
1761600,4861108.65
642000,686367.75
1109200,1623931.66
1262000,1106147.81
2901200,5911094.44
3064000,4941573.74
4248000,5017451.9
2583000,3745723.78
1843000,5280173.8
3130600,6387459.79
3438000,3743864.14
3111600,3631290.53
2386000,3320282.36
1769000,3266828.75
553600,870847.42
2375800,4187182.1
2398000,2302876.61
462000,1534111.48
2990000,3270817.0
5395000,3283811.65
25560000,5041724.16
5506000,4400072.23
4780000,3489884.7
678000,895417.15
800000,916497.45
1413200,3112787.5
3241200,2795559.12
3271200,6091595.52
838500,822598.0
1542400,3668026.22
3101000,4379942.21
2139000,3556965.01
5202600,5467459.81
4840000,3946192.55
1272500,155275.92
622900,257562.39
1177300,2031509.58
515100,346916.0
4455200,2890673.23
1239600,-19747.31
1214000,2211588.07
938800,1132594.17
5210000,6803587.17
3880000,1849630.68
2472000,4453095.98
1655900,2377650.71
1769000,2915446.4
5047200,6698119.28
11759000,7534772.06
919200,1603441.45
1454500,1750769.79
1400600,2173515.07
598000,498013.95
2509000,3618217.24
3064000,4796202.73
8377200,6769041.24
640600,-739342.57
3830000,4327437.95
967200,1549291.73
2546000,6339821.74
1436000,2422125.39
815400,1096399.08
1178400,1046396.06
1556500,3576489.34
796800,19337.82
663600,-213435.33
3730000,5138209.66
1547000,5717772.85
1237000,2154723.84
877000,1373087.65
17412600,7389519.82
4210000,4171975.31
217200,48390.53
1434000,2521322.28
1016900,734359.42
5720600,3453277.49
946300,1294489.28
3225000,623926.75
2956000,3047998.63
2444000,1648558.37
738400,1480119.22
6009200,6030902.9
188400,181305.9
977100,1014409.83
1213570,1869770.09
2082000,4074078.25
1839500,1553066.84
2270700,1923482.38
1740000,3947037.64
1244100,2034179.99
748560,1970639.51
2444000,2464046.85
1732000,4744971.51
10898000,6962569.12
3148500,2215708.06
4582400,5986871.96
3935000,2001262.85
1024000,2024394.67
1776400,4653788.92
4438000,4259887.61
3175000,1777134.58
1801000,3077386.04
882000,1239173.55
1390800,1625277.4
3298000,4527873.57
1872600,1696329.8
6172000,4734171.57
630600,681889.51
2287000,4929472.16
2231000,893069.65
433200,-107492.61
530500,362655.68
1095000,2328239.18
1108000,1990927.99
2629200,4559137.41
707600,820580.06
800000,1153435.31
2161200,3946330.64
2842000,2885275.43
1059600,602594.82
882000,1078601.59
3846000,2954779.97
8170000,6197774.99
1647000,1531925.05
1336400,779687.96
2302000,2307067.31
1029000,3527204.5
5861200,5118974.51
2944120,4408445.51
2462000,3375098.6
2373000,660527.55
769200,656982.06
3915000,5153713.56
653700,-24003.19
3130600,3117523.54
992500,1174722.82
2910400,4288444.47
2728000,2349671.08
12580400,4238845.42
1058600,2915446.4
469200,652324.17
3212000,5253401.41
765350,748265.97
5008000,4247499.45
2028000,4595031.53
6838000,4580109.09
4858000,3618179.91
6838000,5307053.4
2464600,3777228.87
1442900,2341298.65
2348000,3422823.75
3567200,4392690.77
1377500,2012619.18
11202000,6849585.39
548400,-120405.28
6072000,6537916.84
1432560,1582688.49
1471300,1569632.59
1485300,1549351.1
1031000,1237146.67
704500,-41331.52
2161200,4107793.26
4063000,5488802.77
3518400,5332102.23
894000,1730131.95
4111000,2089631.62
822000,1532231.03
951600,1144644.94
3225000,2308533.02
2893800,3130830.57
6616000,5966316.9
3982000,5715942.57
5047200,6266207.4
1265400,1296484.21
3434000,5574175.58
1130500,1708898.27
882000,1372092.28
4285000,2807177.82
4262800,4697857.09
1991000,5676372.41
6420000,513045.54
1201500,1858423.09
456000,1238686.09
1806000,4484017.53
811000,1646843.22
4322000,4957331.23
2003800,2218822.71
1584000,6774494.0
1643200,5154961.79
5358000,4773894.15
3715200,4442288.69
3582000,4409128.63
5654000,3440218.02
5432000,3556486.76
803900,-2698.22
2975200,2915446.4
5654000,4206888.26
224400,201367.32
3434000,4895576.84
4840000,5483917.02
1627500,279197.24
8022000,4814204.68
1092160,1010312.5
1843000,4734485.32
3101000,4818062.98
877000,1054245.65
8770000,8591326.03
5580000,5299688.22
1416000,1481669.5
2930800,4179808.42
1237000,1740229.22
1399000,3235407.36
1392900,3130277.92
1151800,248059.69
5876000,6232974.31
2634800,5038180.76
4126400,4169928.69
4290000,1922837.36
4174000,3959774.97
3367000,3795139.48
622850,1941689.43
541200,2781479.6
1166000,461482.46
3197200,7495789.69
2956000,1627057.65
4307200,5197553.23
1990800,4020169.49
569600,1433933.71
9938600,5809007.63
1722000,1052675.3
2802000,2164718.51
2082000,2551032.2
11093000,5760881.86
3530200,6247621.4
1851600,2641396.4
1521000,583746.65
2941000,620648.79
8377200,5299755.0
576700,346916.0
1698500,1817858.81
1556500,3021337.31
2417000,2217269.93
2550000,1626909.14
7097000,4107637.31
867800,1142811.55
1146500,2278646.1
915500,925251.57
692200,628256.39
1223500,1939652.64
4137000,5833524.01
1485500,2145108.6
3212000,7510276.53
2102000,6758950.32
1436000,4582228.79
4470000,2719641.13
2398000,4346734.98
2065000,5110574.2
3278600,4439828.48
1045200,-1151125.26
16014000,6127213.14
1203600,910053.6
370800,-362070.17
1131100,1829959.49
4544000,12550715.05
569000,-23497.4
2082000,2984140.54
3197200,4484017.53
740000,-943014.14
1521000,2377650.71
9280000,3684214.13
1045300,2341937.41
969400,1826770.16
2294900,368820.88
7652000,5464548.06
4544000,3317625.85
1377500,-257087.85
6098000,4462232.97
498000,-489559.51
3222000,4495979.55
1208000,1793023.52
2361000,3757665.61
615200,823677.46
796800,1689432.13
930900,1099312.05
646000,791638.79
1024000,1906027.21
3360000,3888325.89
1570000,1814948.67
3206800,4889719.63
3054800,2889247.05
1054100,1514266.33
1450000,590491.25
5202600,4773721.9
1323600,1635544.17
4751200,4439828.48
1618400,4948908.19
1769000,4661127.76
15230000,8618789.83
2435000,5096019.07
4544000,4024754.94
1297200,1589016.23
1584000,2260070.9
2234000,2724525.93
1182000,1082975.94
2620000,4630331.34
1569200,2939257.95
5173000,5902342.39
954000,1712825.83
3426600,4484246.87
583800,4254295.79
6172000,3126593.58
1069500,-492435.21
2287000,3238281.26
3500600,3022753.35
843600,1605454.1
7060000,5381503.75
411600,681766.82
6098000,5112789.41
1208000,2410100.91
4261600,574864.15
992500,1239325.93
1185000,1412477.97
492000,282919.04
1180200,2095513.77
1151800,-136561.42
3693000,1607592.64
2158000,2700714.38
3878000,4391966.02
1732000,5552754.15
299800,-263666.56
2006000,4354134.46
930000,1559805.75
9568600,5837565.8
1130500,1688067.47
2506800,1223995.9
6320000,6378041.36
1059500,827343.51
860700,1623031.68
2340000,1513722.5
2398000,4435408.32
4285000,5689380.25
4470000,4293440.56
1343500,-233554.94
811000,1296037.5
2827200,5575551.28
846500,985046.21
786000,1532530.15
577200,1207219.54
18530000,7903837.58
2770600,561342.15
1684300,2406292.05
2340000,1276589.43
750000,1176738.46
882000,761471.54
615200,912328.15
2916000,4737623.02
1038000,1466129.7
2728000,2492439.45
1300500,1990927.99
1865200,5061992.31
1360000,2506226.55
512800,1409333.37
1991000,3788545.75
2361000,4383043.27
4174000,3860128.08
11870000,3760303.41
2094600,1987860.46
9132000,4513810.67
5806000,5614479.98
1016900,-433772.53
530500,495793.76
420500,-336939.15
6016600,6531943.84
5395000,6334481.62
1717200,2456321.63
5432000,4553942.56
3360000,3165412.16
620400,1207829.39
1477600,1354901.62
954000,1037961.22
1592000,2154723.84
2982600,3855988.21
603650,1446282.34
3996400,2458563.19
915500,302598.43
4322000,4664358.09
1201500,555354.04
507400,241811.86
915500,1297574.97
764400,1544680.64
438100,-88061.76
330300,357527.68
6608600,6679282.37
1968000,4204730.54
490800,159627.07
1399000,5999811.96
1190850,1921974.24
3308200,4985587.46
1095000,1972771.33
5861200,3506494.67
2294800,5748706.89
1203600,1205017.5
1272500,2232759.85
21860000,5317274.06
2302000,3631447.41
3526000,4930817.1
882000,1283447.76
3510800,5092139.87
376500,-703254.56
287950,-17101.81
1308000,183926.58
3510800,5446689.79
908400,984192.1
3286000,3326417.02
1015600,869857.8
4058000,3146180.79
1329300,2495333.84
10366000,6823019.43
1770200,1052293.42
938600,1145471.45
4396000,3987848.69
980400,2777551.66
1808400,1625277.4
1556500,2059832.96
7119200,5919050.49
823100,1377093.7
642000,1324213.97
2536300,3455357.05
3567200,2820053.08
2960400,5222621.49
13942000,6588332.63
685200,-562928.61
903300,2279964.09
3360000,5747788.61
1770400,5413337.49
1326000,1449324.44
4514000,4185774.35
3152800,4011031.38
915600,1943049.01
1246000,2352134.55
1146500,1015150.09
846500,369957.71
2231000,1960845.21
12018000,6908059.93
704500,2071099.71
3282800,3586966.55
877000,1102225.63
642000,912777.28
1390800,1425379.68
5802000,4166672.2
775500,1716040.1
721200,-575516.41
3382200,5038180.76
1808400,3193448.69
6094800,6448389.17
2042800,5581291.59
2971200,6224813.37
822000,884726.88
2152900,2252944.27
2571800,1834736.44
1081200,-357416.32
1820800,4296757.83
541200,1611353.27
3935000,3722347.14
4026000,3884086.76
1412400,1450680.35
2266500,1933441.82
697400,669500.23
1563600,1931333.44
5654000,6580022.25
2940600,2592791.18
742800,361248.17
2990000,4276553.63
877000,-318939.7
822000,872215.46
3146000,4120699.97
1166000,2720577.77
1323600,1274726.55
4034000,4594975.16
2612600,4974817.94
2620000,4997130.52
12240000,6624809.88
1383600,1663493.27
1947000,2270992.58
2990000,4242165.21
2065000,3277938.46
7800000,6628034.49
4536600,3990800.18
607500,1237691.08
2186000,1751875.08
8170000,6663498.46
846500,1331730.97
2361000,4924637.99
5432000,5709683.85
1477600,1600652.5
4544000,4521096.58
3249000,4527704.62
3434000,4842985.35
2226000,1606708.06
7800000,6098793.52
2398000,3614417.32
1222800,434955.6
1917000,4597634.68
1222800,1956333.47
692400,478536.37
1339000,1208314.29
1508400,2192955.09
445800,763292.74
12092000,6447163.1
2720400,3438609.36
5728000,2719641.13
2766000,2765576.17
761500,849503.34
13202000,6222030.87
3792000,5417432.89
368800,763202.17
5358000,3333437.22
1146500,1481669.5
1237000,779209.71
646000,3630178.66
2879000,4360049.03
992500,1120431.03
2617200,2093000.43
4507000,3317625.85
7193200,5029142.94
6912000,5749779.9
646000,236045.39
3488000,4069902.87
492000,2150465.77
3582000,5054980.39
3360000,2472281.24
3345200,4472594.12
1750800,1056278.95
3360000,5823152.69
4825200,5682470.63
2990000,4182401.9
2234000,3498293.21
1455600,1198919.53
723000,832097.1
5692000,5875973.7
1428600,5169437.81
969400,696708.94
3360000,4379360.8
3352600,5672052.45
515100,-695543.72
896200,696641.62
12018000,4426864.33
2324000,4482634.19
1450000,2432923.83
678000,1590896.68
12240000,3964987.0
1663000,758297.41
1801000,1429220.13
4877000,5228945.61
1170000,1815219.99
2464600,4729802.28
715300,15318.87
260750,721513.93
3957000,4577631.63
2538000,2955673.04
6904600,5324883.72
1059500,1986942.34
3260000,3385098.68
6801000,4986554.04
1431400,1613622.82
684500,1335911.51
915500,140075.82
2188400,2486081.9
11781200,6744303.23
6209000,6008992.26
2102000,6153045.49
1990800,4020169.49
633500,-423219.58
2612600,4541658.0
1506000,1833660.17
2538000,2941476.74
1455600,1103332.08
9058000,6295720.16
1434000,3038897.37
441800,1163257.9
2435000,5513220.99
1221400,2008919.87
468900,383446.37
2266500,2476237.53
1542000,1983333.2
1592000,683562.32
1086400,3614793.98
714000,1286305.22
931700,1943633.23
2250000,3691057.14
3204600,5466640.26
2412800,5106244.17
2550500,1080906.73
2378500,2038097.95
2046000,218550.52
995600,241229.86
1843000,5711910.04
1280600,1961131.62
5565200,5808793.53
9494600,6342890.13
2994000,5484680.82
2938200,2251601.26
13938000,6450650.56
598800,1342241.14
1354600,5083188.51
1100300,394665.33
12462000,4846967.98
562500,1662628.61
613200,-443477.0
2657000,6022276.97
5935200,3481878.12
592100,690932.09
1932800,2452259.35
923200,1371673.7
1347200,3690250.71
1015600,1817346.73
5839000,3849279.09
2131600,761635.02
4159200,3435509.66
1631600,341453.48
1473000,4732243.75
615200,743081.93
2538000,4681901.76
684500,368061.06
977100,673072.49
1724000,1237381.5
867800,930208.6
663600,-790887.05
1498800,2324668.24
3738800,3341754.74
1454500,1545493.5
3130600,4292786.62
9530000,6524808.65
1790800,2017341.88
646000,531818.61
1724600,4722428.52
498600,-1706441.67
678000,1263505.0
1592400,1903747.75
2598800,3503471.15
2024300,1569612.53
1124400,948606.02
1258300,707777.65
1414500,2989252.73
1000200,11553.46
661400,982305.71
4544000,3945578.66
1985800,2186084.24
1189200,686764.69
1592000,639739.28
1360000,1093136.39
2864200,5406703.4
752260,675137.21
9243000,5886233.06
1592000,2196383.94
1074000,1406096.02
1347200,5237584.9
1843000,4584919.06
2266500,3655767.57
430400,727813.03
5136000,5062726.46
1343500,504556.95
4148000,2529040.25
2287000,2840093.68
924600,1873803.58
2716200,2199625.77
1073700,1310270.38
11204000,5429748.51
1939900,755876.42
1610800,2373651.54
740000,1783900.37
1343500,2373555.23
746100,427430.64
2028800,5447470.17
7415200,6558569.4
2139000,5004948.06
5934000,2320744.18
3448800,4681128.43
1917000,3430602.78
1726900,2220195.49
908400,979496.45
1347600,395205.24
4285000,4507872.62
339600,-1718603.21
1166000,2167013.35
2250000,5050449.25
1262000,1778773.84
4322000,3201202.22
1383600,1979045.54
6912000,5606041.64
3234200,4374919.56
846500,1912445.01
2648000,1740593.04
954000,1192492.89
4751200,4975591.7
800000,848521.02
1993500,1441662.97
619300,1381642.76
4484800,6110021.5
2657000,2302876.61
1232400,1439681.73
10671200,4743853.86
706830,231257.11
4574800,6232187.05
867800,1209766.04
846500,1519630.87
924600,1993973.56
1218000,714915.98
476400,732174.26
699900,65738.81
800000,804316.73
1108000,1921187.64
634800,1515106.67
561300,-135016.53
754200,-513616.9
1577800,719046.11
3212000,4656046.02
825200,-266231.77
1393200,709909.12
4894000,6594224.03
3715200,2484931.03
966000,2777551.66
1473000,2733837.43
735600,674846.01
786000,1446235.34
1092600,995714.85
1732000,3233660.68
1743600,1694127.44
992500,1168881.11
2287000,3477410.08
3693000,2184984.01
740000,-943358.17
2834600,5362391.76
1187300,1898162.69
3331500,1730205.72
3267600,3122618.29
1272500,2050715.79
2879000,4347908.88
1045300,1791504.57
385000,853708.67
4433000,6870905.65
838500,600558.63
433200,1515542.14
800000,714276.05
3493200,3663355.76
22970000,7088813.84
1801000,2779811.99
3138000,6588098.83
4455200,6630021.18
715300,729524.3
644460,1209368.94
1200400,2181556.63
3438000,609730.45
945900,385897.64
2361000,4511998.46
930900,1727498.49
5136000,5312221.8
4729000,5481656.11
1246600,920981.68
1450000,2181209.65
6394000,4797705.7
1095600,1705153.37
582860,197420.23
1069500,1005175.14
3032000,4598634.38
4417800,1741934.02
3138000,2236704.81
698360,41907.58
915500,1482085.34
2472000,2682562.09
453500,645767.78
1480400,1594596.81
2902800,1563921.31
6024000,6332515.26
2028800,3023386.25
569000,148717.92
2586000,1713420.16
2346200,3762161.64
2805000,3187005.92
988500,1498334.11
4692000,4553658.56
10020000,6372389.3
784600,1147065.93
3656000,4223895.74
3572900,524067.06
1982500,867934.75
1739400,3235407.36
2586000,1886727.48
707600,1198840.69
3138000,4116684.17
4063000,3387805.85
877000,721403.38
5195200,4132659.39
2620000,3557851.9
4954800,5994942.55
1806000,2844866.72
1954000,3126593.58
4590000,6342606.91
953000,-182279.59
6912000,6919043.36
475880,399138.0
1110000,-28004.56
10442000,6495327.94
2010000,1812253.17
1414500,928080.58
1146500,1476376.69
3426600,4676240.61
2918000,3076021.21
2102000,5288381.99
4729000,4471749.04
1776600,1957294.72
1946600,4360049.03
1300500,-516246.76
2768000,4579665.85
1329300,-572715.34
630600,-343069.41
740000,1284374.69
3064000,4107645.76
8133000,5177969.93
1339000,594555.56
3822400,2789387.72
1506000,1479818.85
3841000,4646769.2
448900,356407.36
2013200,2915446.4
2768000,3856105.83
3101000,4366334.85
1506000,747691.33
1110000,304439.58
894000,1190534.67
1839500,2008539.36
1797900,2252015.46
1031000,909047.61
1639300,1780094.82
4825200,2730376.98
1954000,2915446.4
3841000,4797705.7
1290000,2904389.57
2430080,2700714.38
2856800,3745723.78
1322200,514539.29
3168800,3522104.76
1398000,1581563.93
945900,659243.63
1801000,3002299.15
1769500,523334.31
4020000,5240352.35
836400,1496060.97
415000,670021.91
1647000,1357477.4
792300,1843752.8
1303680,950956.24
507400,505331.07
1592000,2220195.49
4804000,858596.59
715300,424905.25
2805000,3447968.19
1695000,2817332.83
4100000,4130071.41
7800000,5066861.16
1383600,1318221.57
1225200,1037620.89
9502000,7749560.99
10094000,5948528.13
1962700,1989693.85
2583000,4246654.19
3915000,5893853.27
807700,1548951.47
8133000,6797433.84
569600,-141307.75
3225000,818461.01
838500,930324.33
8747200,6266398.76
1095600,1583327.25
1277400,1911572.4
4396000,3953097.8
646000,1507991.67
1521000,2252944.27
2509000,3843837.34
5358000,5340216.85
3471000,4616266.64
484300,230548.02
2538000,3326421.61
174000,350098.88
9243000,3843837.34
2842000,4764913.95
1506800,2273608.06
754200,1017100.86
505700,926300.43
2188400,836049.3
953000,1710532.12
992500,1226582.52
992500,946764.57
915500,925251.57
507400,904713.2
253300,413117.97
2657000,3843837.34
1169600,1852027.71
1695000,7777786.08
1154200,1487564.86
3471000,3436092.18
1343500,315547.95
2089200,1594699.33
1988400,1741250.93
1371900,1623273.08
953000,1818232.61
1991000,3916306.81
1686000,1448933.67
892400,1333272.31
1362000,1439868.57
2941000,756555.34
2176000,4939651.72
966000,1446207.3
2420200,4753613.82
1939600,2042203.33
1647770,1130505.06
1464200,2333430.09
1658000,3795797.75
1917000,2823120.81
465050,231878.06
23414000,5036894.37
877000,1030770.11
2590400,5061992.31
2224500,2334502.5
3564000,3540681.8
1470000,1007043.22
823100,549283.29
1485500,2270992.58
3619000,4838676.69
1343500,2207693.19
3982000,6897585.9
1732000,6198860.74
2753200,2465229.97
877000,1339568.49
4433000,5481707.58
2094600,4842985.35
3878000,4442519.1
2139000,4467292.28
1897300,3469553.35
1166000,1938091.04
822000,1357562.0
901200,870188.37
3952000,4601959.14
1917000,2915446.4
2168600,3376515.78
992500,1510851.25
1364800,-359998.18
1077200,437264.32
3342000,2437941.19
1539600,2733837.43
4470000,4356182.07
8318000,6891298.09
4344200,5950046.51
1484400,1308208.72
1254000,981881.1
4618000,6292016.61
2102000,5147705.07
2738400,4044768.3
861600,325139.62
877000,1117155.21
2398000,3477410.08
9686000,1228676.79
4618000,3724662.65
980400,1634236.4
10020000,7731287.84
2834600,4586568.22
1816000,3684336.02
7174000,5821753.43
2368400,5547179.22
2457200,2306487.26
796800,1175919.81
1237000,2280321.96
2302000,2589693.0
5730000,6348818.33
1416000,1857901.53
4148000,-344291.62
1510000,4542945.87
2601800,1992290.61
1169600,1274271.52
769200,1496829.63
649200,-10083.34
1521000,1791504.57
1917000,4644328.97
3582000,4195988.7
3101000,4787428.81
775500,1147977.76
1059500,755876.42
725800,-257390.52
6170800,4415182.48
1847200,1074228.14
3138000,4980747.5
4677200,6086596.1
4751200,5758085.35
5654000,6696200.84
821800,2324241.51
569000,1264541.52
1000200,976820.21
2753200,3217204.99
2109000,1486932.48
2390600,3876057.4
1103000,2252697.22
1300500,1567811.14
1493000,857991.63
505700,1731026.57
966000,-127411.73
6320000,4733736.92
2302400,4985987.23
5469000,3992107.39
1398000,5491451.16
1323600,1606090.47
915500,839518.65
3730000,5011326.82
1253600,3731540.97
1416000,3043011.64
1570000,1565504.99
7523600,6638351.6
490800,264314.58
8762000,6200865.96
1182000,523160.54
640600,1531138.52
9058000,7431355.49
1300500,1572738.15
1416000,1328941.53
2802000,2084966.43
15940000,7991409.61
1362000,2158566.04
415000,486828.1
1663000,2168920.14
4833200,2983136.84
2478000,2453955.94
730700,98080.81
4914000,6624609.88
663600,1485328.72
1015600,440798.5
860700,499177.04
2664400,4552470.09
1769500,2219717.24
5432000,4223531.6
3572900,3332839.5
6009200,5438844.26
1843000,3315964.61
2768000,5171105.96
1398000,1522407.76
2139000,4341415.42
1493000,1723692.5
1569200,2917201.86
453500,-60643.11
750000,1399883.26
188400,111889.94
3291600,2679421.98
1778000,4711875.34
836400,1599583.12
2139000,3615970.18
1878000,1794776.75
2338800,5933989.9
8466000,4254339.03
1002700,2102519.69
1554600,1665106.4
784600,694014.62
512800,-106546.17
9910000,6418547.04
969400,1436289.52
1223500,1826483.72
1095000,755161.02
4172000,4671498.62
2213000,5631122.25
1038000,-138906.5
598260,1195462.77
1167600,-930165.72
1069500,1356112.74
2879000,3860275.21
2538000,4941446.8
3471000,3982638.78
1290000,1442720.53
995600,636796.14
385000,-172493.37
1246600,1962349.65
2176000,4456234.79
4877000,5405078.64
530500,896275.5
2472000,4040788.22
940800,1516897.9
889100,2328239.18
1254000,2200100.35
228090,-753899.62
860700,3361976.01
1130500,1553411.66
1322200,2541010.18
1686800,2717152.25
4396000,2888592.46
1917000,5013809.81
2186000,439894.78
1262000,1181610.78
4544000,5164064.75
1384200,3884086.76
4588400,4814835.37
3868000,4447402.54
3641200,5557737.71
1208100,1154488.46
1840500,2401462.25
683200,881047.61
2583000,3807203.76
1800800,4015110.19
658350,1322679.99
1878000,2070273.51
5730000,5822622.7
775500,501403.4
923200,1173884.87
2901200,3662228.38
4292400,4290140.08
6608600,5165117.85
5728000,4405926.01
2908600,4538366.3
12240000,7688001.88
2435000,3598322.79
3360000,4512608.31
5950000,3234797.51
1038000,1586905.13
2546000,4071867.85
7467000,6145098.17
769200,317110.36
1016900,483228.27
2065000,3793007.46
12462000,5638205.03
2509000,3808999.87
3715200,5358328.74
1998400,2868043.19
1820800,4989837.49
3730000,4793982.73
498000,-220916.51
483600,-514641.13
656400,-512936.9
1000200,1561244.7
1702000,1087268.71
1453730,771679.7
877000,780762.19
8540000,5921653.9
1023600,979787.58
4026000,2733837.43
1991000,4512447.52
1695000,5079940.04
786000,1477876.41
3419200,5071901.85
861600,1221050.01
4544000,6149433.82
1570000,-750428.14
1339000,2192249.96
800000,770395.36
8390000,6795555.63
1306580,2835821.56
526800,1555564.32
4603200,4098471.86
385000,2499038.95
846500,1688340.6
2310000,2724525.93
3101000,4820489.95
6912000,3503502.34
2203600,1283882.17
6290400,6465489.45
938800,1806162.26
2530400,4466260.18
2196000,2591786.05
583800,265106.54
2918000,4463011.78
2242600,3187005.92
